_from_name,_to_name,_uid
"""Departments""","""FinanceTeam""",e5e2bdf9-9702-47fd-a851-6b010b6d08b2
"""Departments""","""SalesTeam""",213da1b0-6ad6-4be9-a974-69dd41acd9bf
"""Departments""","""QualityAssuranceTeam""",a7ab3f66-3d87-491a-880d-5c753ee7c8c0
"""Sales""","""CustomerSupportTeam""",3104f317-674d-46f5-b5bf-4191318fdb79
"""Sales""","""CustomerSupportTeam""",04c8ce4e-9a0d-4a75-82e5-b9b91ffecf3b
"""Projects""","""SalesTeam""",5e13f34f-33a9-49b6-8023-cc6a0fb49c02
"""Projects""","""SalesTeam""",7a6a979f-e5be-4a32-844d-fa2ee053b079
"""Payments""","""FinanceTeam""",2566ce94-86a7-4848-98cf-f7cb1e037386
"""Products""","""CustomerSupportTeam""",15d7c33d-6177-4825-a14b-a9c359d27220
"""Products""","""SalesTeam""",0994f011-84ef-47d0-bde0-fc06e17ebcd3
"""Suppliers""","""SalesTeam""",47a0e80f-040d-466d-94ca-d73e8ba8b08d
"""Suppliers""","""QualityAssuranceTeam""",6b3678f4-367f-4e97-aca9-1eebce1c636c
"""Suppliers""","""SalesTeam""",fbdcf12f-1104-47c7-b964-75071c7cf37e
"""Orders""","""CustomerSupportTeam""",08ec0a65-3cd1-4f43-942d-4c386f5a87f4
"""Orders""","""CustomerSupportTeam""",cdb83b4e-91f8-4a26-ae23-d5f795707adb
