_from_name,_to_name,role
"""chrisbrown""","""Departments""","""Viewer"""
"""rebeccajones""","""Products""","""Admin"""
"""annawalker""","""Payments""","""Admin"""
"""ryansmith""","""Orders""","""Viewer"""
"""alexwilson""","""Projects""","""Engineer"""
"""matthewjohnson""","""Suppliers""","""Engineer"""
"""jasonlee""","""Sales""","""Engineer"""
"""jasonlee""","""Products""","""Admin"""
"""chrisbrown""","""Sales""","""Viewer"""
"""sophiemiller""","""Suppliers""","""Viewer"""
"""markroberts""","""Payments""","""Engineer"""
"""annawalker""","""Projects""","""Engineer"""
"""emilyjones""","""Departments""","""Viewer"""
"""lisawhite""","""Orders""","""Viewer"""
"""mikedavis""","""Sales""","""Engineer"""
"""markroberts""","""Suppliers""","""Engineer"""
"""sarahsmith""","""Products""","""Viewer"""
"""lauradavis""","""Payments""","""Viewer"""
"""matthewjohnson""","""Projects""","""Admin"""
"""ryansmith""","""Departments""","""Admin"""
"""alexwilson""","""Orders""","""Viewer"""
"""mikedavis""","""Departments""","""Admin"""
"""ryansmith""","""Orders""","""Admin"""
"""rebeccajones""","""Projects""","""Viewer"""
"""matthewjohnson""","""Products""","""Engineer"""
"""emilyjones""","""Sales""","""Engineer"""
"""lauradavis""","""Suppliers""","""Viewer"""
"""alexwilson""","""Payments""","""Admin"""
"""emilyjones""","""Projects""","""Engineer"""
"""kevinwilson""","""Payments""","""Engineer"""
"""sophiemiller""","""Products""","""Engineer"""
"""sandrabrown""","""Departments""","""Engineer"""
"""kevinwilson""","""Suppliers""","""Viewer"""
